ir_mean,ir_std,gsr_mean,gsr_std,stress_label
51490.14246,95.90242169,540.8971749,5.645485028,1
49585.2071,114.3609513,536.9994156,7.058686605,1
51943.06561,100.9133285,463.8088093,5.661393952,0
54569.08957,110.4967181,554.7750533,1.714007938,0
49297.53988,109.3559389,430.5950395,3.747289489,0
49297.58913,97.71072716,480.7489405,6.765828052,1
54737.63845,82.20755902,400.0547312,5.25466828,1
52302.30419,120,613.517591,3.789564649,0
48591.57684,116.0070861,506.1070304,6.308780726,1
51627.68013,75.78861889,650.0130421,9.244798176,0
48609.74692,81.57012576,568.1769956,2.752872847,0
48602.81074,120,546.8858928,1,0
50725.88681,104.9322938,484.8263383,10.17045354,1
44260.15927,88.57358763,457.2189979,5.518194721,0
44825.2465,83.2547419,551.3782944,4.141907458,0
48313.13741,81.16573506,515.7091594,3.68242571,0
46961.50664,91.00674864,439.6437811,4.836809423,1
50942.742,116.5018251,428.988495,7.412940182,1
47275.92777,94.31668616,462.4777763,1,0
45763.0889,100.6804391,629.2580335,5.089746656,1
54396.94631,120,652.7966751,11.48986901,1
49322.6711,89.93816949,532.2993488,7.796850356,1
50202.58461,104.9482927,528.9365678,7.507288839,1
45725.75544,106.5174143,499.8207777,6.221297311,0
48366.85183,82.74014915,463.9308791,5.570752621,0
50332.76777,103.336328,602.5107435,4.620582123,0
46547.01927,120,632.4145836,4.649496284,0
51127.09406,97.1504324,466.3948548,7.082345891,0
48198.08393,112.4213659,515.0296973,3.531474281,0
49124.91875,96.13278434,493.008022,5.781577965,0
48194.88016,120,494.7856555,5.403063029,0
55556.83455,86.43165077,591.1544953,12.4872077,1
49959.50833,100.8933595,441.2823073,3.931556184,1
46826.86721,71.470914,547.9881815,8.985271751,1
52467.63474,94.42211723,563.6942864,7.758858181,1
46337.46905,82.07265632,511.4709296,4.762980634,0
50626.59079,97.24883696,573.5840696,2.003878689,0
44120.98963,70.417609,528.8591104,5.12970043,0
46015.44185,90.95479034,593.0277953,8.627987233,1
50590.58371,108.088165,428.6676817,1,0
52215.39974,81.45225249,499.0734843,7.497863348,0
50514.10484,91.50422234,515.6912114,9.185572726,1
49653.05515,120,359.6675569,3.884696779,0
49096.68891,103.1319349,454.842836,7.289518464,1
45564.43403,63.86275,471.1840447,5.132603896,0
47840.46737,74.67394678,576.8923597,7.48306792,0
48618.08369,100.6247311,477.5893992,9.256634849,1
53171.36668,107.8527239,470.9152608,1,1
51030.85487,93.25006771,569.0491468,3.39483479,0
44710.87953,120,422.9253613,7.981297926,1
50972.25191,120,395.725356,8.262615333,1
48844.75316,93.72375592,498.304462,1,0
47969.234,109.032821,433.1375939,9.018286733,1
51835.02887,117.5175503,435.4192423,1,0
53092.99857,120,554.4060275,7.420828831,1
52793.84036,95.98640089,572.5584303,6.381967159,0
47482.34743,120,567.331853,3.473980603,0
49072.36287,97.1157678,586.5265996,3.850627625,0
50993.79029,108.3174618,594.4680592,4.040629468,0
52926.63538,105.8839234,392.2845875,3.310388613,0
48562.47729,95.02966199,547.0247176,11.4283533,1
49443.02307,103.062113,488.223508,7.351545993,1
46680.99508,75.57370655,475.1545452,9.054757843,0
46411.38013,63.25546497,553.6248779,4.570017315,0
52437.57747,101.6744478,416.1822712,4.852599484,0
54068.72009,94.93102562,414.9334836,1,0
49783.96964,107.7804944,558.0143646,4.744809484,1
53010.59869,112.5280498,549.2671611,3.835172879,0
51084.90808,102.3720164,528.2039594,6.747957266,0
48064.64074,118.3529033,467.2051957,2.551488788,0
51084.18682,102.0749585,564.6297781,3.135702985,0
54614.1097,87.35595675,560.8181735,6.797234493,1
49892.52188,96.43038014,525.1182709,5.090631808,0
54693.93097,120,449.3607375,2.3920052,0
42140.76469,56.01770928,494.4850993,2.404918599,0
52465.70751,103.5208701,570.2700207,3.60009088,0
50261.1412,109.1542129,599.6314734,8.440158314,1
49102.97795,120,500.4078038,6.256662465,1
50275.28233,118.6744292,505.0196219,2.784664844,0
44037.29326,90.06383226,510.2986535,2.956814072,0
49340.98434,106.4933571,536.4935805,1.922935899,0
51071.33771,73.67724502,485.135962,3.671584823,0
54433.68213,93.12153148,350,3.832351724,0
48445.18935,106.6547138,591.5661401,3.278837378,0
47574.51919,97.56654933,627.6813368,12.83875405,1
48494.72887,101.3205755,483.2560084,6.703907389,1
52746.20635,106.0041325,456.0007979,4.463481349,0
50986.25333,101.8961432,511.7739687,5.372957562,0
48410.71939,98.3653985,508.749767,1,0
51539.8023,87.23907683,579.7311146,2.200227871,0
50291.23265,97.14856071,523.2783665,9.201460008,1
52905.93497,87.15030047,472.4426302,9.62972279,1
47893.84072,86.49373459,440.895433,1,0
49017.01356,115.9726023,571.9380511,7.130532997,0
48823.67554,94.93606642,555.9706745,9.704622253,1
45609.45516,100.1565024,583.6335927,4.811109627,0
50888.36083,103.50614,461.908795,9.177118542,1
50783.16582,95.79295663,630.306214,8.605104848,1
50015.34037,84.90215014,415.3783296,5.506513894,0
49296.2386,92.59164241,562.5760613,4.891786521,1
45753.88777,94.25545224,405.425034,4.330580108,0
48738.06403,106.1784297,472.5801171,3.38355918,0
48971.85645,99.77876587,613.6613758,7.025985248,0
47593.16819,104.9285412,569.8818553,6.457230354,0
49516.14287,76.22973419,487.2267751,3.569404824,0
51212.15257,115.4242435,488.8697774,1,0
55658.5577,94.3932703,526.0373267,4.675408977,0
50523.73344,115.8000361,550.8484594,2.454864825,0
50772.65117,109.08139,595.094763,2.588330825,0
49776.66225,71.50048107,492.6259597,2.856265169,0
44243.68635,99.54181507,423.2928962,6.713576096,0
49920.45837,114.7673768,529.4181176,1.960787471,0
50180.69063,119.2295582,492.5541497,2.263304849,0
57389.72634,103.2504784,441.9619777,6.539941173,0
49422.91711,101.5369968,537.8601349,3.081661279,0
50904.64203,112.2260248,507.2131748,1.690531734,0
49895.86469,110.8366324,538.3907324,7.810416613,1
46493.96589,99.1307432,466.333348,4.274936916,0
53428.46844,100.4573932,549.2026318,5.688046101,0
52255.7991,119.3307545,440.9741082,3.738137709,1
52373.09584,119.6534912,470.3361166,5.973286998,1
47271.83764,92.22950068,505.4251461,7.110670346,1
54208.38293,96.66344381,624.5091049,5.876131326,0
45794.44681,80.67034354,567.0895221,1.176455983,0
51760.57128,120,584.6315503,6.738759641,1
56571.36688,120,605.024622,5.030227479,1
47028.39102,93.75618531,736.1699281,9.933553613,1
48301.10681,93.61461551,522.4953441,2.538120827,0
50298.9541,74.07510678,605.2240554,5.109056588,0
48489.57304,95.71312951,580.7581153,1.3619806,0
45348.00971,72.8292921,579.7619502,8.147086123,0
50205.68892,102.79637,626.4543771,9.940593147,1
46813.08886,111.4048864,494.8412181,3.484418914,1
51420.77729,88.13478129,490.0788986,4.318543545,0
47241.7273,98.062256,539.1859308,2.962821872,0
54649.80322,120,509.0380137,2.950617247,0
47650.24012,98.60491118,539.1100512,7.471782633,1
49033.81545,90.20788648,613.7649271,4.625194371,0
52440.55165,105.0368994,491.3111966,6.33856178,0
46307.40705,106.9735448,501.7192622,4.971502501,1
50682.3798,105.3034275,530.4586602,7.55627356,0
53921.42826,107.7922978,506.3008944,3.88581385,1
45177.5503,107.6972475,405.1596503,7.307525247,1
50553.90158,108.8315712,485.1923414,10.47827544,1
50779.64838,83.51576033,561.2423945,1,0
52345.46862,114.1621272,606.2528051,5.78602006,1
46289.14787,106.8216771,450.7228859,4.228882448,1
46038.63016,73.51751452,450.443056,2.357291719,0
51565.8247,69.10055696,521.8140282,6.440663544,0
50890.95402,86.15291801,395.4642961,7.316434655,0
50751.47855,99.96546179,493.3017878,1,0
51039.34463,117.2255144,415.8374764,1,0
47959.92584,82.55557116,602.143678,10.99372246,1
50696.76109,109.7203262,473.8401307,4.019592045,1
50879.21742,58.37271782,619.1700512,6.460071954,0
47856.94575,98.4184923,586.8112812,2.662700546,0
55597.32353,105.0935403,481.2209621,4.945204903,0
51421.49876,120,455.6824218,8.663450537,1
46426.08951,64.47088471,508.387255,6.573145604,1
51969.66083,103.7217994,513.7212025,5.715445122,1
47075.95499,65.6785897,540.7688166,1,0
52361.25381,96.47689163,473.4074026,6.96215136,1
53475.78674,81.43424899,564.7836924,5.676597578,1
47537.95304,120,535.9196833,3.535207182,0
52890.12839,100.4470388,499.5762906,6.923288424,1
51238.34278,99.31124316,477.2775607,2.229208006,0
52466.18048,104.2913551,508.906901,6.771388835,0
55690.37895,94.396606,470.9859249,8.36051687,1
49263.83565,114.3562523,523.5063217,5.697706591,1
47738.79151,105.0804952,525.1263211,3.979279428,1
47331.45671,108.4319889,535.702437,3.640569956,0
47552.56915,76.83571006,625.9745446,7.407801477,1
49768.69487,116.567118,512.0533168,3.82444749,0
51023.45592,117.344531,580.275872,12.90222843,1
50830.0724,98.17424927,533.7752438,1.092403632,0
52481.54975,118.3884156,505.7053419,4.667767018,0
50039.00568,104.1680857,512.8504438,5.946218576,1
54360.60223,84.81121148,516.4704154,5.6252561,0
49206.0295,95.66997047,536.7860625,3.685600446,0
58000,109.0983644,462.4407541,8.321195169,1
51877.00204,105.0352934,432.079577,6.321354472,1
47428.52733,110.173949,559.2578436,7.811939175,1
46787.32251,68.95452498,573.88743,3.73509709,0
51447.41725,96.24116587,564.73815,4.439169193,0
49329.61164,86.33166179,529.2983211,6.75773177,1
52142.00148,92.60063338,566.0334776,2.358818556,1
51419.71287,90.49279001,562.8057416,7.624755421,1
49781.51326,100.5855819,567.2577615,5.36972613,0
47459.61885,102.7668695,468.4275507,7.878062348,1
45455.45833,96.13579104,454.1828922,3.258970229,0
48660.45514,100.1059334,496.6858452,10.40939062,1
52569.19638,114.4645601,518.9569534,6.421078694,1
50642.28123,120,505.4847324,6.616143293,1
46262.78366,94.56393854,407.3985801,1.996271873,0
50519.54278,116.3561616,623.3015567,6.993036496,1
51155.95214,116.7746558,503.5572407,3.387873011,1
47348.42769,120,530.362265,1,0
50461.17532,109.3301336,594.6729394,5.359767159,1
50174.62616,87.6845096,379.3016638,7.281468599,1
46571.08911,97.71540703,489.2983677,4.700622781,0
51073.36208,105.9138053,496.7729636,4.085295244,0
51682.35358,115.5924463,499.8213973,4.075962051,0
53249.15373,93.39735742,509.5908046,11.82065689,1
53161.40616,120,606.8280879,7.893547408,1
45866.9919,91.81254103,560.4075325,1,0
47186.52488,106.9637386,577.4821161,4.145384308,1
51545.1058,107.735309,522.8272163,4.025820438,0
51541.35785,104.9215774,436.0376172,2.19675497,0
51545.14306,106.5981323,395.2181779,4.145251727,0
58000,120,428.2355366,2.56067278,0
51712.67153,120,541.5859422,3.877598689,0
53406.69692,76.55273307,521.9061828,5.679617998,0
52862.00529,113.8240548,507.3901811,1,0
51954.17375,104.5678644,497.8853856,1,0
49054.19227,95.45178602,640.7032945,10.13549864,1
52276.90766,69.10464198,470.6257845,7.217943948,1
47681.52436,104.0661639,575.6691674,6.863368538,1
49289.54418,96.70452881,520.1147762,6.115152826,0
48543.90936,84.5713917,516.3436293,4.595678589,0
50245.62242,101.1284444,590.5982529,14.95388119,1
56943.9757,109.4960979,607.751823,6.656381637,1
44398.20442,62.66051134,505.6270326,12.88055967,1
52058.78057,105.4403319,567.9521632,11.8679436,1
45161.85239,99.02480772,541.8334817,6.803286437,0
48584.2044,88.92990759,520.4462283,4.574495658,0
53266.85179,110.4593961,532.2552966,5.370587298,1
50192.84006,102.0073597,478.7194711,3.584713386,1
46766.76567,109.2159147,501.6340364,6.399346131,0
47854.08887,94.15279184,485.1618832,6.873003276,1
52038.79325,116.0939641,574.082603,2.068258997,0
47808.9001,90.91750887,514.2879331,12.98627828,1
50649.37577,120,442.1371585,2.07842401,0
50136.71552,93.72080706,476.5937666,1,0
48045.19896,85.81541105,350,3.035047882,0
56431.83227,111.3562827,490.3304439,1.457982303,0
51901.75707,92.88323055,522.2587039,5.062302764,0
43924.57224,69.11929797,511.8318491,5.3310939,0
50559.36294,112.0327612,638.8092611,7.723937055,1
48014.64061,50.08955051,554.4943625,8.562508462,0
52557.3,94.35159967,551.8271112,2.495846918,0
47622.43778,75.11841685,421.4038579,3.124030789,0
49655.79068,101.4441224,498.1214768,7.016854978,1
51514.96184,70.19318863,490.8002316,2.935762557,0
52597.26558,113.4122938,472.8351281,1,0
46399.11078,102.6395705,472.0071601,6.578252429,0
48996.49629,73.50372191,411.5126228,2.419366266,0
48575.16407,100.0093687,443.4488077,2.539050719,0
48040.0123,103.8209139,572.4456042,6.084653886,1
55296.36272,120,511.4251185,5.126666036,0
51214.94513,80.39595022,489.6158549,7.887817392,0
46217.34814,68.29077664,519.6753199,1.449587777,0
52753.58584,120,590.0434407,12.68689472,1
56366.46859,100.4045916,520.2526313,1,0
53097.39578,98.28372894,552.4224479,4.360977043,0
45441.8901,100.3801981,469.2037095,2.086466017,0
48547.29778,79.55658021,482.882203,4.99544276,0
53800.73345,103.6137257,541.2386131,5.468708507,0
47876.9916,109.1301476,633.5592225,6.834693509,1
51331.45828,81.34638331,605.7864916,6.841855171,0
52323.90216,97.14773938,554.9696842,9.468887665,1
47219.20859,77.53756287,529.0860256,5.760785082,0
49821.42393,88.03381658,604.0641613,10.20572249,1
42000,98.33712466,567.6806994,1,0
46926.83708,114.9296287,382.3802787,1,0
49242.29555,102.352103,456.7641491,4.948748037,0
46256.65045,100.4964462,540.2884195,6.383872548,0
54897.23391,117.3672913,412.7819461,2.526243865,0
45709.57587,81.33411209,466.1446597,4.631034179,0
48679.86654,100.9319906,478.0111034,8.006098367,1
50392.22173,81.35481761,504.6300456,7.057340188,1
54323.81987,94.26909739,502.7541875,4.037648548,0
45692.41355,90.0828039,502.6527744,5.620136483,1
53489.49126,91.06441761,569.518451,7.971836196,1
50030.69918,80.97049212,504.0865681,1.352222296,0
47055.47405,83.43248068,496.9221921,2.554270292,0
51386.31042,119.9676267,439.0496738,7.160559586,1
50597.17909,120,581.4607721,1,0
48199.34937,95.91029833,479.7101492,1.526059899,0
50209.40625,109.1517964,454.7781803,1,0
48844.05921,89.23570659,532.7854345,8.081367725,1
50340.55204,69.69640217,473.9835243,1.485327735,0
51986.39202,90.56994684,488.4428356,7.260106853,0
54758.05045,104.8909404,535.5076105,4.295119325,1
46286.5535,94.68764624,500.4110426,10.34022688,1
56399.10012,111.2835587,658.6965625,6.971944487,1
44143.7366,84.06278899,515.5102874,8.355928007,1
49544.64471,90.46979395,557.0702931,6.951780015,1
51764.95162,108.6878414,403.4983572,2.682488483,0
50842.9756,81.22757453,468.3610521,4.645975541,0
48131.90144,108.2947436,454.7851783,4.572986784,1
49375.63325,89.95600317,462.7372166,3.241822392,0
48520.9972,120,544.9322796,8.113046283,1
48231.90573,91.73407836,582.1339041,13.35315873,1
52548.80629,97.89497673,540.6778303,5.754337643,0
51071.04646,93.70180008,506.4013226,7.213846836,0
47921.27121,88.78950329,482.1486977,6.407897449,0
52698.79963,114.5060201,586.8159851,1,0
50921.89856,101.2096541,644.2753272,7.917456257,1
52438.58636,119.6833977,528.1033423,6.605599649,1
